"filename", "language", "JSON", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\Users\jonat\lnu_åk2\1dv610\1dv610-L2\README.md", "Markdown", 0, 1, 0, 0, 0, 1
"c:\Users\jonat\lnu_åk2\1dv610\1dv610-L2\index.js", "JavaScript", 0, 0, 1, 0, 0, 1
"c:\Users\jonat\lnu_åk2\1dv610\1dv610-L2\jest.config.js", "JavaScript", 0, 0, 4, 0, 0, 4
"c:\Users\jonat\lnu_åk2\1dv610\1dv610-L2\package-lock.json", "JSON", 4412, 0, 0, 0, 1, 4413
"c:\Users\jonat\lnu_åk2\1dv610\1dv610-L2\package.json", "JSON", 23, 0, 0, 0, 1, 24
"c:\Users\jonat\lnu_åk2\1dv610\1dv610-L2\src\BarChart.js", "JavaScript", 0, 0, 9, 1, 8, 18
"c:\Users\jonat\lnu_åk2\1dv610\1dv610-L2\src\Chart.js", "JavaScript", 0, 0, 22, 0, 6, 28
"c:\Users\jonat\lnu_åk2\1dv610\1dv610-L2\src\PieChart.js", "JavaScript", 0, 0, 6, 0, 5, 11
"c:\Users\jonat\lnu_åk2\1dv610\1dv610-L2\test\Chart.test.js", "JavaScript", 0, 0, 17, 0, 8, 25
"Total", "-", 4435, 1, 59, 1, 29, 4525
